nome_ingles,grupo_muscular,gif_url
Cable Rear Delt Fly,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/cable-rear-delt-fly.gif
Rear Delt Fly Machine,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Rear-Delt-Machine-Flys.gif
Bent Over Lateral Raise,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Lateral-Raise.gif
Cable Upright Row,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Upright-Row.gif
Dumbbell Upright Row,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Upright-Row.gif
Ez Bar Upright Row,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Upright-Row.gif
Band Pull-Apart,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/06/Band-pull-apart.gif
Bent Over Reverse Cable Fly,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/bent-over-reverse-cable-fly.gif
Incline Dumbbell Reverse Fly,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Reverse-Fly.gif
Barbell Rear Delt Raise,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Rear-Delt-Raise.gif
Incline Dumbbell Y-Raise,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/10/Incline-Dumbbell-Y-Raise.gif
Dumbbell Incline T-Raise,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/09/Dumbbell-Incline-T-Raise.gif
Half Kneeling High Cable Row Rope,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Half-Kneeling-High-Cable-Row-Rope.gif
Barbell Reverse Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Reverse-Curl.gif
Dumbbell Wrist Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Wrist-Curl.gif
Barbell Reverse Wrist Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/06/Barbell-Reverse-Wrist-Curl.gif
Dumbbell Seated Neutral Wrist Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Seated-Neutral-Wrist-Curl.gif
Wrist Roller,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/08/wrist-roller.gif
Hand Gripper,Forearms,https://fitnessprogramer.com/wp-content/uploads/2022/01/Hand-Gripper.gif
Cable One-Arm Wrist Curl On Floor,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-One-Arm-Wrist-Curl-On-Floor.gif
Behind The Back Barbell Wrist Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/06/Behind-The-Back-Barbell-Wrist-Curl.gif
Cable Single Arm Hammer Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2025/07/cable-single-arm-hammer-curl.gif
Seated Barbell Finger Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2025/07/seated-barbell-finger-curl.gif
