nome_ingles,grupo_muscular,gif_url
Weighted Pull-up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Weighted-Pull-up.gif
Reverse grip Pull-up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Reverse-grip-Pull-up.gif
Close Grip Chin Up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Close-Grip-Chin-Up.gif
Assisted Pull-up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Assisted-Pull-up.gif
Smith Machine Bent Over Row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Smith-Machine-Bent-Over-Row.gif
Incline Reverse Grip Dumbbell Row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Incline-Reverse-Grip-Dumbbell-Row.gif
Barbell Pullover,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Bent-Arm-Pullover.gif
Lying Cable Pullover,Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lying-Extension-Pullover.gif
Kneeling High Pulley Row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kneeling-High-Pulley-Row.gif
Half Kneeling Lat Pulldown,Back,https://fitnessprogramer.com/wp-content/uploads/2021/06/Half-Kneeling-Lat-Pulldown.gif
Muscle-Up,Back,https://fitnessprogramer.com/wp-content/uploads/2021/05/Muscle-up-vertical-bar.gif
45 Degree Incline Dumbbell Row,Back,https://fitnessprogramer.com/wp-content/uploads/2021/02/45-Degree-Incline-Row.gif
Seated Barbell Shoulder Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Shoulder-Press.gif
Dumbbell Shoulder Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Shoulder-Press.gif
Standing Dumbbell Shoulder Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2023/09/Standing-Dumbbell-Overhead-Press.gif
Arnold Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/02/Arnold-Press.gif
Half Arnold Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/10/Half-Arnold-Press.gif
Barbell Military Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/07/Barbell-Standing-Military-Press.gif
Standing Close Grip Military Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/10/Standing-Barbell-Close-Grip-Military-Press.gif
Seated Behind Neck Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Behind-the-Neck-Press.gif
Smith Machine Shoulder Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/02/Smith-Machine-Shoulder-Press.gif
Smith Machine Behind The Neck Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/06/Smith-Machine-Behind-Neck-Press.gif
Lever Shoulder Press,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Shoulder-Press.gif
Dumbbell Lateral Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Lateral-Raise.gif
Seated Dumbbell Lateral Raise,Shoulders,https://fitnessprogramer.com/wp-content/uploads/2021/04/Seated-Dumbbell-Lateral-Raise.gif
